Team Key,Player Name,Selected Position,Eligible Positions,Status
Russian Gas,J.T. Miller,C,"C, RW, Util",
Russian Gas,Anton Lundell,C,"C, Util",
Russian Gas,Artemi Panarin,LW,"LW, Util",
Russian Gas,Mikael Granlund,LW,"C, LW, RW, Util",
Russian Gas,Mark Stone,RW,"RW, Util",
Russian Gas,Will Cuylle,RW,"LW, RW, Util",
Russian Gas,Roman Josi,D,"D, Util",
Russian Gas,Jake Sanderson,D,"D, Util",
Russian Gas,John Carlson,D,"D, Util",
Russian Gas,Shayne Gostisbehere,D,"D, Util",
Russian Gas,Dylan Strome,Util,"C, Util",
Russian Gas,Brayden Schenn,Util,"C, Util",
Russian Gas,Nico Hischier,BN,"C, Util",
Russian Gas,Tage Thompson,BN,"C, RW, Util",
Russian Gas,Nick Schmaltz,BN,"C, RW, Util",
Russian Gas,Robert Thomas,BN,"C, Util",
Russian Gas,Darcy Kuemper,G,G,
Russian Gas,Karel Vejmelka,G,G,
Russian Gas,Matthew Tkachuk,IR+,"LW, RW, Util, IR+",IR-NR
Backes Spasms,Leon Draisaitl,C,"C, LW, Util",
Backes Spasms,Tim Stutzle,C,"C, LW, Util",
Backes Spasms,Jesper Bratt,LW,"LW, RW, Util",
Backes Spasms,Alex Ovechkin,LW,"LW, RW, Util",
Backes Spasms,Alex Tuch,RW,"RW, Util",
Backes Spasms,Alexis Lafreniere,RW,"LW, RW, Util",
Backes Spasms,Cale Makar,D,"D, Util",
Backes Spasms,Josh Morrissey,D,"D, Util",
Backes Spasms,Alexander Nikishin,D,"D, Util",
Backes Spasms,Aaron Ekblad,D,"D, Util",
Backes Spasms,Sam Bennett,Util,"C, Util",
Backes Spasms,Kevin Fiala,Util,"LW, Util",
Backes Spasms,Alex DeBrincat,BN,"LW, RW, Util",
Backes Spasms,Kiefer Sherwood,BN,"RW, Util",
Backes Spasms,Sean Monahan,BN,"C, Util",
Backes Spasms,Lian Bichsel,BN,"D, Util",
Backes Spasms,Jordan Binnington,G,G,
Backes Spasms,Stuart Skinner,G,G,
Backes Spasms,Bryan Rust,IR+,"RW, Util, IR+",IR
Backes Spasms,Pyotr Kochetkov,IR+,"G, IR+",DTD
Bob's Beauties,Brayden Point,C,"C, Util",
Bob's Beauties,Mark Scheifele,C,"C, Util",
Bob's Beauties,Artturi Lehkonen,LW,"LW, RW, Util",
Bob's Beauties,Cole Caufield,LW,"LW, RW, Util",
Bob's Beauties,Mitch Marner,RW,"RW, Util",
Bob's Beauties,William Nylander,RW,"C, RW, Util",
Bob's Beauties,Lane Hutson,D,"D, Util",
Bob's Beauties,Jackson LaCombe,D,"D, Util",
Bob's Beauties,Thomas Chabot,D,"D, Util",
Bob's Beauties,Noah Hanifin,D,"D, Util",
Bob's Beauties,Nikita Kucherov,Util,"RW, Util",
Bob's Beauties,Miro Heiskanen,BN,"D, Util",
Bob's Beauties,Travis Konecny,BN,"LW, RW, Util",
Bob's Beauties,Matt Duchene,BN,"C, RW, Util",
Bob's Beauties,Mason McTavish,BN,"C, Util",
Bob's Beauties,Frank Vatrano,BN,"C, LW, Util",
Bob's Beauties,Jake Oettinger,G,G,
Bob's Beauties,Logan Thompson,G,G,
Bob's Beauties,Logan Cooley,IR+,"C, Util",
Easy Bake Muzzin,John Tavares,C,"C, Util",
Easy Bake Muzzin,Tomas Hertl,C,"C, LW, Util",
Easy Bake Muzzin,Rickard Rakell,LW,"C, LW, RW, Util",
Easy Bake Muzzin,Carter Verhaeghe,LW,"LW, Util",
Easy Bake Muzzin,David Pastrnak,RW,"RW, Util",
Easy Bake Muzzin,Sam Reinhart,RW,"C, RW, Util",
Easy Bake Muzzin,Rasmus Dahlin,D,"D, Util",
Easy Bake Muzzin,MacKenzie Weegar,D,"D, Util",
Easy Bake Muzzin,Mikhail Sergachev,D,"D, Util",
Easy Bake Muzzin,Radko Gudas,D,"D, Util",
Easy Bake Muzzin,Bo Horvat,Util,"C, Util",
Easy Bake Muzzin,Ryan Nugent-Hopkins,Util,"C, LW, Util",
Easy Bake Muzzin,Jason Robertson,BN,"LW, RW, Util",
Easy Bake Muzzin,Tyler Toffoli,BN,"LW, RW, Util",
Easy Bake Muzzin,Ryan O'Reilly,BN,"C, Util",
Easy Bake Muzzin,Owen Tippett,BN,"LW, RW, Util",
Easy Bake Muzzin,Joey Daccord,G,G,
Easy Bake Muzzin,Linus Ullmark,G,G,
Easy Bake Muzzin,Vince Dunn,IR+,"D, Util, IR+",DTD
Easy Bake Muzzin,Thatcher Demko,IR+,G,
Eichel Tower,Mathew Barzal,C,"C, RW, Util",
Eichel Tower,Jack Eichel,C,"C, Util",
Eichel Tower,Jake Guentzel,LW,"LW, Util",
Eichel Tower,Nikolaj Ehlers,LW,"LW, RW, Util",
Eichel Tower,Lucas Raymond,RW,"RW, Util",
Eichel Tower,Patrik Laine,RW,"LW, RW, Util",
Eichel Tower,Adam Fox,D,"D, Util",
Eichel Tower,Jakob Chychrun,D,"D, Util",
Eichel Tower,Brandon Montour,D,"D, Util, IR+",DTD
Eichel Tower,Neal Pionk,D,"D, Util",
Eichel Tower,Gabriel Vilardi,Util,"C, RW, Util",
Eichel Tower,Erik Karlsson,Util,"D, Util",
Eichel Tower,Brady Tkachuk,BN,"C, LW, Util",
Eichel Tower,Macklin Celebrini,BN,"C, Util",
Eichel Tower,Pavel Buchnevich,BN,"C, LW, RW, Util",
Eichel Tower,Patrick Kane,BN,"RW, Util",
Eichel Tower,Sergei Bobrovsky,G,G,
Eichel Tower,Andrei Vasilevskiy,G,G,
Eichel Tower,Zach Hyman,IR+,"LW, RW, Util, IR+",IR-LT
Hype Beasts,Connor McDavid,C,"C, Util",
Hype Beasts,Nick Suzuki,C,"C, Util",
Hype Beasts,Timo Meier,LW,"LW, RW, Util",
Hype Beasts,Pavel Dorofeyev,LW,"LW, RW, Util",
Hype Beasts,Steven Stamkos,RW,"C, LW, RW, Util",
Hype Beasts,Jordan Kyrou,RW,"RW, Util",
Hype Beasts,Zach Werenski,D,"D, Util",
Hype Beasts,Seth Jones,D,"D, Util",
Hype Beasts,Morgan Rielly,D,"D, Util",
Hype Beasts,Cam Fowler,D,"D, Util",
Hype Beasts,Quinton Byfield,Util,"C, LW, Util",
Hype Beasts,Boone Jenner,Util,"C, LW, Util",
Hype Beasts,Andrei Svechnikov,BN,"LW, RW, Util",
Hype Beasts,Kirill Marchenko,BN,"RW, Util",
Hype Beasts,JJ Peterka,BN,"LW, RW, Util",
Hype Beasts,Thomas Harley,BN,"D, Util",
Hype Beasts,Anthony Stolarz,G,G,
Hype Beasts,Sam Montembeault,G,G,
