team,day,opponent,homeGame
ANA,Monday,NYR,False
ANA,Tuesday,CBJ,False
ANA,Friday,DAL,True
ANA,Saturday,CBJ,True
BOS,Tuesday,UTA,True
BOS,Thursday,EDM,True
BOS,Saturday,VAN,True
BOS,Sunday,OTT,True
BUF,Thursday,PHI,True
BUF,Saturday,NYI,True
BUF,Sunday,NJD,False
CGY,Tuesday,SJS,False
CGY,Thursday,SEA,True
CGY,Saturday,VGK,True
CAR,Wednesday,NSH,False
CAR,Friday,FLA,False
CAR,Saturday,TBL,False
CHI,Tuesday,TOR,False
CHI,Thursday,MTL,False
CHI,Saturday,OTT,False
COL,Tuesday,SEA,False
COL,Friday,WPG,True
COL,Sunday,MIN,False
CBJ,Tuesday,ANA,True
CBJ,Thursday,MIN,True
CBJ,Saturday,ANA,False
DAL,Monday,LAK,True
DAL,Thursday,SJS,False
DAL,Friday,ANA,False
DAL,Sunday,TOR,True
DET,Tuesday,NYI,True
DET,Wednesday,UTA,True
DET,Saturday,WSH,False
DET,Sunday,WSH,True
EDM,Tuesday,PIT,False
EDM,Thursday,BOS,False
EDM,Saturday,MIN,False
EDM,Sunday,VGK,True
FLA,Monday,TBL,False
FLA,Wednesday,LAK,True
FLA,Friday,CAR,True
FLA,Saturday,STL,True
MIN,Tuesday,WSH,True
MIN,Thursday,CBJ,False
MIN,Saturday,EDM,True
MIN,Sunday,COL,True
MTL,Tuesday,PHI,True
MTL,Thursday,CHI,True
MTL,Saturday,PIT,True
MTL,Sunday,PIT,False
NSH,Monday,STL,False
NSH,Wednesday,CAR,True
NSH,Saturday,TOR,True
NSH,Sunday,NYR,True
NYI,Tuesday,DET,False
NYI,Friday,VAN,True
NYI,Saturday,BUF,False
NYR,Monday,ANA,True
NYR,Tuesday,VAN,True
NYR,Thursday,STL,False
NYR,Saturday,PHI,True
NYR,Sunday,NSH,False
OTT,Monday,WPG,False
OTT,Thursday,PIT,True
OTT,Saturday,CHI,True
OTT,Sunday,BOS,False
PHI,Tuesday,MTL,False
PHI,Thursday,BUF,False
PHI,Saturday,NYR,False
PIT,Tuesday,EDM,True
PIT,Thursday,OTT,False
PIT,Saturday,MTL,False
PIT,Sunday,MTL,True
SEA,Tuesday,COL,True
SEA,Thursday,CGY,False
SEA,Saturday,SJS,False
STL,Monday,NSH,True
STL,Wednesday,WPG,True
STL,Thursday,NYR,True
STL,Saturday,FLA,False
TOR,Tuesday,CHI,True
TOR,Thursday,WSH,False
TOR,Saturday,NSH,False
TOR,Sunday,DAL,False
UTA,Tuesday,BOS,False
UTA,Wednesday,DET,False
UTA,Friday,NJD,True
UTA,Sunday,WPG,True
VAN,Tuesday,NYR,False
VAN,Friday,NYI,False
VAN,Saturday,BOS,False
VGK,Wednesday,NJD,True
VGK,Saturday,CGY,False
VGK,Sunday,EDM,False
WSH,Tuesday,MIN,False
WSH,Thursday,TOR,True
WSH,Saturday,DET,True
WSH,Sunday,DET,False
WPG,Monday,OTT,True
WPG,Wednesday,STL,False
WPG,Friday,COL,False
WPG,Sunday,UTA,False
